City;Region;Country;AirQuality;WaterPollution;ph;Hardness;Solids;Chloramines;Sulfate;Conductivity;Organic_carbon;Trihalomethanes;Turbidity;Potability
New York City;New York;United States of America;4.681.603.774;495.049.505;;2.048.904.554.713.360;20.791.318.980.747.000;7.300.211.873.184.750;36.851.644.134.980.300;5.643.086.541.722.430;103.797.830.780.847;869.909.704.615.088;29.631.353.806.316.400;0
Washington; D.C.;District of Columbia;;6.612.903.226;371.608.007.538.699;12.942.292.051.494.400;18.630.057.857.970.300;6.635.245.883.862;;5.928.853.591.348.520;15.180.013.116.357.200;5.632.907.628.451.760;4.500.656.274.942.400;0
San Francisco;California;United States of America;6.051.401.869;43;8.099.124.189.298.390;22.423.625.939.355.700;19.909.541.732.292.300;9.275.883.602.694.080;;4.186.062.130.644.810;16.868.636.929.550.900;6.642.009.251.176.360;30.559.337.496.641.600;0
Berlin;;Germany;6.236.413.043;2.861.271.676;8.316.765.884.214.670;21.437.339.408.562.200;22.018.417.440.775.200;805.933.237.743.854;35.688.613.564.305.600;3.632.665.161.642.430;18.436.524.495.493.300;10.034.167.436.508.000;4.628.770.536.837.080;0
Los Angeles;California;United States of America;3.662.162.162;6.129.943.503;9.092.223.456.290.960;18.110.150.923.612.500;1.797.898.633.892.620;6.546.599.974.207.940;31.013.573.752.420.400;39.841.081.338.184.400;11.558.279.443.446.300;31.997.992.727.424.700;4.075.075.425.430.030;0
Bern;Canton of Bern;Switzerland;9.431.818.182;12.5;5.584.086.638.456.080;1.883.133.237.696.160;2.874.868.773.904.610;754.486.878.877.965;3.266.783.629.116.730;2.804.679.159.334.870;8.399.734.640.152.750;54.917.861.841.994.400;25.597.082.275.565.200;0
Geneva;Canton of Geneva;Switzerland;7.153.846.154;1.737.288.136;10.223.862.164.528.700;24.807.173.527.013.900;28.749.716.543.528.200;75.134.084.658.313.000;39.366.339.551.509.600;2.836.516.335.078.440;13.789.695.317.519.800;8.460.355.617.402.350;2.672.988.736.934.770;0
Zurich;Canton of Zurich;Switzerland;8.380.952.381;1.071.428.571;8.635.848.718.500.730;20.336.152.258.457.000;13.672.091.763.901.600;4.563.008.685.599.700;3.033.097.711.592.810;47.460.764.494.244.800;1.236.381.669.870.520;62.798.308.962.925.100;4.401.424.715.445.480;0
Basel;;Switzerland;8.166.666.667;2.692.307.692;;11.898.857.909.025.100;14.285.583.854.224.500;7.804.173.553.073.090;268.646.940.746.221;3.893.755.658.712.610;1.270.604.896.865.790;53.928.845.767.512.200;35.950.171.809.576.100;0
London;England;United Kingdom;3.704.225.352;4.071.637.427;11.180.284.470.721.500;22.723.146.923.797.400;2.548.450.849.098.780;9.077.200.016.914.390;40.404.163.468.408.900;5.638.854.814.810.940;1.792.780.641.128.500;7.197.660.103.221.910;4.370.561.936.655.490;0
Cairo;Cairo Governorate;Egypt;15.830.721;7.435.064.935;7.360.640.105.838.250;16.552.079.725.952.800;32.452.614.409.143.800;7.550.700.906.704.110;32.662.435.345.560.100;42.538.341.949.538.700;15.586.810.438.033.100;7.874.001.566.430.470;36.622.917.828.524.500;0
Alexandria;Alexandria Governorate;Egypt;4.103.773.585;712.962.963;7.974.521.648.923.860;21.869.330.048.866.600;1.876.765.668.181.340;8.110.384.501.123.870;;36.409.823.046.204.800;14.525.745.697.593.200;7.648.591.117.965.150;4.011.718.108.339.780;0
Alexandria;Virginia;United States of America;890.625;4.615.384.615;7.119.824.384.264.550;15.670.499.334.039.200;18.730.813.653.342.700;36.060.360.905.057.200;2.823.440.504.739.600;34.771.502.726.194.300;15.929.535.908.825.600;795.007.783.369.744;3.445.756.223.321.890;0
Paris;Ile-de-France;France;3.402.439.024;4.312.169.312;;1.501.749.233.951.360;27.331.361.961.927.700;6.838.223.470.687.500;29.941.578.134.685.800;37.976.183.482.577.200;19.370.807.181.232.100;765.099.955.279.583;4.413.974.182.974.900;0
Boston;Massachusetts;United States of America;7.823.529.412;3.291.139.241;749.623.220.797.336;20.534.498.215.818.500;2.838.800.488.673.690;5.072.557.773.840.630;;4.446.453.523.327.060;13.228.311.099.224.500;7.030.021.264.692.430;4.777.382.337.225.370;0
